# PX4动力学标定结果
# 日期: 2026-06-16 14:53:35
# 阶跃指令: 3.0 m/s
# 真实参数: Kp=2.5, Kd=0.8
# 拟合参数: Kp=2.586922, Kd=0.838883
# 稳态速度: 2.2654 m/s
# 时间常数: 0.2919 s

# 原始数据
# time(s), velocity(m/s)
0.0000, 0.384934
0.0500, 0.693655
0.1000, 0.967156
0.1500, 1.213035
0.2000, 1.383202
0.2500, 1.525291
0.3000, 1.680202
0.3500, 1.793317
0.4000, 1.863030
0.4500, 1.941482
0.5000, 1.986869
0.5500, 2.024721
0.6000, 2.070481
0.6500, 2.065586
0.7000, 2.065266
0.7500, 2.088251
0.8000, 2.098433
0.8500, 2.133477
0.9000, 2.138293
0.9500, 2.132228
1.0000, 2.184724
1.0500, 2.194729
1.1000, 2.208949
1.1500, 2.190977
1.2000, 2.193579
1.2500, 2.208857
1.3000, 2.196375
1.3500, 2.216487
1.4000, 2.213754
1.4500, 2.217651
1.5000, 2.214704
1.5500, 2.261324
1.6000, 2.262935
1.6500, 2.243397
1.7000, 2.264687
1.7500, 2.241597
1.8000, 2.250911
1.8500, 2.215317
1.9000, 2.198226
1.9500, 2.214456
2.0000, 2.238840
2.0500, 2.247859
2.1000, 2.249649
2.1500, 2.247435
2.2000, 2.222038
2.2500, 2.216005
2.3000, 2.216151
2.3500, 2.246629
2.4000, 2.257807
2.4500, 2.225008
2.5000, 2.239364
2.5500, 2.237167
2.6000, 2.229496
2.6500, 2.248863
2.7000, 2.273420
2.7500, 2.291932
2.8000, 2.271978
2.8500, 2.265918
2.9000, 2.273667
2.9500, 2.293023
3.0000, 2.280090
3.0500, 2.275162
3.1000, 2.252634
3.1500, 2.232025
3.2000, 2.254991
3.2500, 2.285043
3.3000, 2.281570
3.3500, 2.300182
3.4000, 2.302885
3.4500, 2.285006
3.5000, 2.290208
3.5500, 2.318085
3.6000, 2.309884
3.6500, 2.335046
3.7000, 2.272369
3.7500, 2.288866
3.8000, 2.287944
3.8500, 2.279453
3.9000, 2.280178
3.9500, 2.239198
4.0000, 2.240337
4.0500, 2.252823
4.1000, 2.285665
4.1500, 2.273165
4.2000, 2.256923
4.2500, 2.249496
4.3000, 2.271637
4.3500, 2.278392
4.4000, 2.266862
4.4500, 2.278095
4.5000, 2.279151
4.5500, 2.297464
4.6000, 2.279341
4.6500, 2.271697
4.7000, 2.264025
4.7500, 2.236190
4.8000, 2.248141
4.8500, 2.257419
4.9000, 2.260047
4.9500, 2.257448
5.0000, 2.231661
5.0500, 2.230024
5.1000, 2.230216
5.1500, 2.221185
5.2000, 2.226464
5.2500, 2.242178
5.3000, 2.284942
5.3500, 2.286419
5.4000, 2.289310
5.4500, 2.285085
5.5000, 2.244671
5.5500, 2.248770
5.6000, 2.253927
5.6500, 2.306294
5.7000, 2.296908
5.7500, 2.298950
5.8000, 2.293929
5.8500, 2.267057
5.9000, 2.290849
5.9500, 2.302898
6.0000, 2.313740
6.0500, 2.288785
6.1000, 2.314192
6.1500, 2.279313
6.2000, 2.289963
6.2500, 2.330929
6.3000, 2.301515
6.3500, 2.285439
6.4000, 2.285334
6.4500, 2.273185
6.5000, 2.242096
6.5500, 2.248521
6.6000, 2.231269
6.6500, 2.247582
6.7000, 2.233342
6.7500, 2.270839
6.8000, 2.255486
6.8500, 2.251889
6.9000, 2.271598
6.9500, 2.247167
7.0000, 2.255934
7.0500, 2.284848
7.1000, 2.250698
7.1500, 2.258026
7.2000, 2.265649
7.2500, 2.282453
7.3000, 2.256110
7.3500, 2.232442
7.4000, 2.249528
7.4500, 2.259296
7.5000, 2.266522
7.5500, 2.274475
7.6000, 2.260586
7.6500, 2.267234
7.7000, 2.274002
7.7500, 2.259505
7.8000, 2.299002
7.8500, 2.304143
7.9000, 2.275134
7.9500, 2.287868
8.0000, 2.265876
8.0500, 2.282748
8.1000, 2.304266
8.1500, 2.282649
8.2000, 2.300279
8.2500, 2.303989
8.3000, 2.315272
8.3500, 2.346188
8.4000, 2.329159
8.4500, 2.304773
8.5000, 2.281695
8.5500, 2.263899
8.6000, 2.263814
8.6500, 2.272108
8.7000, 2.277744
8.7500, 2.293460
8.8000, 2.290299
8.8500, 2.316470
8.9000, 2.303960
8.9500, 2.353210
9.0000, 2.352443
9.0500, 2.322147
9.1000, 2.292575
9.1500, 2.298950
9.2000, 2.290154
9.2500, 2.301558
9.3000, 2.306266
9.3500, 2.299275
9.4000, 2.277959
9.4500, 2.246799
9.5000, 2.242147
9.5500, 2.264321
9.6000, 2.269990
9.6500, 2.245526
9.7000, 2.253478
9.7500, 2.264361
9.8000, 2.248064
9.8500, 2.255208
9.9000, 2.259263
9.9500, 2.238625
